"GID"	"INC"	"DIS"	"SEV"	"VSK"	"DON"	"HD"
"MT09SCAB9"	58.8963	15.2039	22.3844	40.6757	8.1453	172.3584
"MT1053"	55.081	12.5676	21.4089	27.5429	5.7932	169.2979
"MT1103"	83.4858	22.5067	49.7536	51.353	16.8844	169.8438
"MT1142"	34.4987	11.2378	23.8492	31.6001	8.455	168.2706
"MT1172"	62.1202	16.8667	29.8648	39.3024	7.5155	169.0252
"MT1203"	78.2296	19.4143	32.5444	83.3731	45.556	165.5284
"MT1219"	56.4103	18.6143	27.8795	46.1878	12.628	167.0327
"MT1236"	59.4864	11.8658	24.1684	47.5385	23.2559	167.7746
"MT1316"	50.5363	10.8569	18.4629	31.5897	9.093	166.8954
"MT1337"	56.4103	15.8736	25.1974	33.1199	13.6288	165.5744
"MT1338"	53.7834	12.0605	20.3392	28.5579	11.4553	165.3327
"MT1348"	64.9973	21.0902	32.0848	50.2435	16.0794	168.0925
"MT1401"	51.3735	11.1565	18.4045	29.1661	5.6956	169.2841
"MT1525"	73.5177	53.2778	61.5014	72.1604	22.9327	167.3468
"MT1543"	63.1108	30.7802	39.5533	70.8653	14.9152	165.4368
"MT1570"	64.555	40.4156	52.0231	56.8144	14.4602	164.4068
"MT1621"	58.2482	13.8049	19.6356	35.0088	11.3553	166.334
"MT1673"	62.2674	14.6339	19.1729	49.461	11.3957	166.3083
"MT1716"	57.7497	8.2128	13.7084	28.564	7.224	167.812
"MT1767"	58.7379	15.8503	26.1706	58.7262	16.2244	166.1224
"MT1775"	53.3028	14.7112	21.1697	51.1391	21.7353	172.3594
"MT1809"	62.8933	10.416	17.0389	28.9716	6.7022	167.7701
"MT1855"	60.5115	13.5673	19.0837	33.577	6.9441	171.0445
"MT1866"	60.0812	8.3746	13.8398	30.4446	8.3894	168.608
"MT1871"	60.0702	19.3745	23.0636	49.0202	17.534	170.526
"MT1872"	61.3353	16.0801	24.1177	51.8186	14.32	167.6927
"MT1927"	57.2857	15.7993	28.9557	55.0619	15.3935	169.277
"MT1939"	60.4251	17.2787	38.0031	53.4411	20.563	167.4123
"MT2007"	55.0148	10.7853	17.4281	40.8812	11.3653	171.1842
"MT2013"	60.6763	19.3697	26.9252	53.0346	10.7125	171.3509
"MT2018"	58.694	14.2989	22.0966	39.583	9.8896	170.5175
"MT2022"	54.9647	4.5451	10.277	37.9391	8.8478	169.8509
"MT2030"	67.5117	15.3527	38.436	27.6056	14.3757	169.7523
"MT2049"	58.189	9.8871	20.8616	32.6775	11.1196	165.5898
"MT2054"	50.6059	10.7628	21.5469	38.6092	13.5831	167.3614
"MT21074"	63.6732	18.8462	30.742	44.6094	11.324	170.3469
"MT21076"	58.0875	10.2608	16.1156	43.3371	10.8428	172.0285
"MT21082"	49.4866	14.93	22.5267	34.562	11.951	168.1951
"MT21089"	59.4873	14.2388	20.8693	32.4373	10.1794	171.0285
"MT21091"	48.5897	10.8447	17.2148	29.4691	10.0162	170.6951
"MT21102"	58.5697	14.2451	20.9869	36.931	19.3852	170.8618
"MT21104"	63.6732	16.5041	29.2795	40.8342	10.2032	168.2182
"MT21111"	58.5697	11.8819	18.0719	29.7267	14.5141	166.5285
"MT21186"	63.6732	16.6431	26.6229	49.5032	11.3392	169.9469
"MT21214"	58.4371	10.292	15.8108	39.2383	13.5741	173.9758
"MT21220"	60.8851	10.7202	16.2134	33.753	9.1334	172.4647
"MT21222"	61.7328	8.4561	13.3796	29.9697	11.7095	174.86
"MT21224"	58.3996	15.7694	22.3471	36.7846	12.5229	170.8636
"MT21305"	57.7922	5.6674	10.0551	24.7506	7.9078	171.0931
"MT21352"	60.8617	11.7304	17.7061	40.4848	14.9705	171.1536
"MT21384"	64.3078	12.7143	18.1556	29.9736	13.953	171.1714
"MT21473"	63.6732	13.5235	22.2097	40.0025	10.408	168.7803
"MT21485"	63.6732	15.6104	21.6264	45.1116	9.1549	167.2803
"MT22071"	58.3996	17.7957	24.7477	47.9199	14.0904	172.4081
"MT22345"	58.3996	18.1918	25.2144	36.6124	13.1365	172.1747
"MT22361"	58.3996	15.2454	21.7226	41.1227	19.3195	172.4081
"MT23004"	58.3996	14.784	21.1711	49.8347	11.597	168.7525
"MT23297"	58.3996	11.4306	17.1158	24.8653	12.2767	173.7525
"MT8849"	77.9883	28.2313	37.5372	NA	NA	NA
"MT9311"	66.6187	27.4029	27.3049	46.3676	NA	NA
"MT9354"	77.848	31.0542	32.9011	37.2213	NA	NA
"MT9360"	66.9213	18.465	21.327	34.3589	NA	NA
"MT9410"	71.1565	29.9074	27.6713	46.4554	NA	NA
"MT9508"	70.5643	22.0128	35.9242	40.578	10.7842	NA
"MT9609"	52.7899	17.2617	25.6271	45.2992	13.8874	169.5123
"MT9874"	63.2434	23.126	29.6869	48.3892	14.4225	174.6712
"MT9929"	62.7813	33.6342	37.4007	49.5055	13.3983	172.0602
"N10"	57.717	13.4171	18.7891	45.823	13.5224	173.6885
"N10-0176"	38.696	3.0944	10.0401	38.3568	4.7019	167.9466
"N86-0348"	65.8407	22.0374	25.6342	NA	NA	NA
"N87-0306"	72.3618	20.5837	24.4807	NA	NA	NA
"N88-0022"	82.1726	21.9022	23.8016	NA	NA	NA
"N88-3136"	58.1363	14.489	21.5724	NA	NA	NA
"N88-3140"	54.0949	22.524	21.9766	NA	NA	NA
"N88-3934"	88.5315	24.335	24.7719	NA	NA	NA
"N89-0562"	81.2235	21.402	20.8972	36.4022	NA	NA
"N90-0392"	77.3618	27.7953	28.1144	57.2287	NA	NA
"N90-0666"	43.9821	10.0167	12.8855	46.6033	NA	NA
"N90-0671"	55.6231	13.4438	16.424	46.6033	NA	NA
"N90-0700"	44.6677	12.0654	17.2132	34.819	NA	NA
"N91-0059"	53.5243	15.8201	20.3083	62.5183	NA	NA
"N91-3057"	94.5349	21.2809	18.0466	55.1089	NA	NA
"N92-0126"	67.6118	20.0063	21.2309	49.987	NA	NA
"N92-0176"	68.3291	33.0498	36.6925	49.0637	NA	NA
"N92-0248"	54.8556	6.1774	11.7854	46.6217	NA	NA
"N92-0434"	70.4081	20.1056	21.9068	45.6724	NA	NA
"N92-2031"	29.4959	3.4343	9.5095	35.2994	NA	NA
"N93-0202"	79.5097	32.0058	27.2759	40.8417	NA	NA
"N93-0211"	68.1572	23.2863	25.8266	37.4981	NA	NA
"N93-0214"	64.6661	16.9581	20.5579	41.0052	NA	NA
"N93-0305"	54.4011	8.5316	9.0271	36.7533	NA	NA
"N93-0331"	67.9801	10.5872	17.001	38.4108	NA	NA
"N93-0351"	55.5338	5.5759	10.3086	39.0619	NA	NA
"N93-0383"	43.6095	8.4544	16.1239	40.4511	NA	NA
"N95-0026"	64.3601	12.5379	19.373	40.0451	NA	NA
"N95-0144"	66.8373	20.3243	28.2226	46.2771	NA	NA
"N95-0204"	64.3601	18.9588	27.1976	54.5271	NA	NA
"N95-0264"	65.3469	17.6101	25.3363	37.4703	NA	NA
"N95-0330"	59.2021	10.679	17.6584	52.1686	NA	NA
